SN,Date,Open,High,Low,LTP,CHANGE,Volume,Adjusted_Close
191,2023-05-14,419.00,424.00,410.00,414.00,-0.22,"15,570.00","6,474,892.90"
192,2023-05-11,408.10,418.00,408.00,414.90,0.19,"7,217.00","2,988,374.80"
193,2023-05-10,415.00,418.00,414.10,414.10,-0.70,"7,875.00","3,270,781.10"
194,2023-05-09,411.20,423.00,411.20,417.00,0.36,"13,401.00","5,594,955.80"
195,2023-05-08,415.20,417.00,412.40,415.50,-0.60,"12,442.00","5,153,755.40"
196,2023-05-07,415.00,422.80,415.00,418.00,-0.52,"8,140.00","3,390,427.00"
197,2023-05-04,423.00,434.70,417.10,420.20,0.55,"13,563.00","5,766,087.70"
198,2023-05-03,414.00,419.00,414.00,417.90,-0.50,"6,099.00","2,536,214.70"
199,2023-05-02,423.90,424.90,416.10,420.00,-0.19,"11,669.00","4,886,571.60"
200,2023-04-30,422.00,424.50,415.00,420.80,-0.28,"14,085.00","5,888,746.50"
201,2023-04-27,425.10,427.90,420.00,422.00,-0.73,"18,761.00","7,914,831.40"
202,2023-04-26,425.10,432.40,425.00,425.10,-0.75,"8,705.00","3,715,375.10"
203,2023-04-25,421.10,430.00,420.00,428.30,0.54,"25,233.00","10,694,651.40"
204,2023-04-24,427.00,429.90,421.00,426.00,-0.14,"32,052.00","13,568,523.20"
205,2023-04-23,424.00,432.00,421.00,426.60,-0.56,"12,449.00","5,259,790.30"
206,2023-04-20,431.00,435.00,427.00,429.00,-1.38,"7,451.00","3,193,190.20"
207,2023-04-19,425.10,435.00,425.10,435.00,2.11,"8,040.00","3,472,550.60"
208,2023-04-18,433.00,433.00,424.30,426.00,-0.93,"8,893.00","3,789,184.10"
209,2023-04-17,440.00,440.00,427.00,430.00,-1.60,"13,087.00","5,636,052.10"
210,2023-04-16,434.00,440.00,431.20,437.00,0.69,"9,753.00","4,239,754.30"
211,2023-04-13,445.00,449.00,430.00,434.00,-1.81,"21,156.00","9,293,264.30"
212,2023-04-12,425.00,442.00,425.00,442.00,5.24,"26,548.00","11,606,705.10"
213,2023-04-11,429.30,429.30,419.10,420.00,-0.24,"15,180.00","6,409,323.60"
214,2023-04-10,422.00,424.90,418.10,421.00,0.24,"19,816.00","8,354,150.00"
215,2023-04-09,422.00,430.40,416.10,420.00,-2.10,"17,906.00","7,530,628.30"
216,2023-04-06,435.00,435.00,428.70,429.00,-0.12,"14,437.00","6,219,858.70"
217,2023-04-05,425.10,432.00,425.00,429.50,0.59,"10,607.00","4,544,193.90"
