SN,Date,Open,High,Low,LTP,CHANGE,Volume,Adjusted_Close
73,2023-11-06,401.70,419.00,401.70,419.00,2.24,"11,991.00","4,953,742.00"
74,2023-11-05,411.20,412.00,401.50,409.80,-2.17,"13,314.00","5,405,635.00"
75,2023-11-02,416.00,437.90,413.30,418.90,-0.50,"9,506.00","3,960,065.10"
76,2023-11-01,430.00,430.00,416.00,421.00,-2.09,"5,346.00","2,252,477.30"
77,2023-10-31,429.00,430.00,418.00,430.00,-1.38,"4,122.00","1,741,158.00"
78,2023-10-30,430.60,436.00,415.00,436.00,3.27,"10,932.00","4,587,744.20"
79,2023-10-29,427.30,427.30,420.00,422.20,-2.90,"5,377.00","2,269,472.10"
80,2023-10-19,426.00,440.00,425.20,434.80,0.65,"13,771.00","5,981,363.00"
81,2023-10-18,420.00,440.00,419.00,432.00,2.13,"9,997.00","4,329,715.10"
82,2023-10-17,422.00,435.90,422.00,423.00,-1.17,"6,101.00","2,607,399.30"
83,2023-10-16,440.00,440.00,417.90,428.00,-4.14,"26,607.00","11,297,469.00"
84,2023-10-12,456.80,456.80,440.10,446.50,-4.21,"10,748.00","4,823,162.10"
85,2023-10-11,441.00,466.10,441.00,466.10,4.30,"11,339.00","5,098,937.60"
86,2023-10-10,446.00,463.00,445.90,446.90,-1.78,"15,537.00","6,964,408.80"
87,2023-10-09,452.00,463.00,450.00,455.00,-1.09,"12,611.00","5,725,068.60"
88,2023-10-08,479.00,480.00,458.00,460.00,-4.66,"19,069.00","8,879,025.80"
89,2023-10-05,478.10,484.00,477.60,482.50,-0.52,"17,806.00","8,539,288.80"
90,2023-10-04,474.10,507.00,474.10,485.00,0.79,"9,881.00","4,778,452.00"
91,2023-10-03,481.50,487.00,481.20,481.20,-2.00,"6,083.00","2,942,564.40"
92,2023-10-02,481.00,498.70,480.00,491.00,0.41,"16,311.00","7,941,988.40"
93,2023-10-01,493.00,497.00,484.20,489.00,-2.40,"17,644.00","8,597,443.70"
94,2023-09-27,495.10,504.00,495.10,501.00,-0.79,"15,635.00","7,785,773.80"
95,2023-09-26,499.00,510.00,499.00,505.00,1.02,"19,877.00","9,995,794.70"
96,2023-09-25,502.00,510.00,496.00,499.90,-0.62,"11,230.00","5,630,534.30"
97,2023-09-24,510.00,516.00,500.00,503.00,-2.52,"20,934.00","10,611,879.00"
98,2023-09-21,510.00,524.00,507.10,516.00,2.18,"49,608.00","25,678,750.00"
99,2023-09-19,492.50,509.00,492.50,505.00,0.80,"13,940.00","6,969,503.20"
100,2023-09-18,488.00,505.00,486.10,501.00,1.01,"9,326.00","4,617,926.00"
101,2023-09-17,506.00,509.90,493.00,496.00,-3.88,"29,262.00","14,596,805.30"
102,2023-09-13,490.00,518.40,490.00,516.00,4.03,"28,300.00","14,403,635.30"
103,2023-09-12,490.10,502.00,486.50,496.00,-0.60,"14,257.00","7,047,888.70"
104,2023-09-11,471.00,508.90,471.00,499.00,4.48,"20,984.00","10,415,991.00"
105,2023-09-10,475.00,484.00,475.00,477.60,-0.91,"20,640.00","9,881,252.10"
106,2023-09-07,490.00,495.00,480.20,482.00,-2.19,"11,882.00","5,764,420.00"
107,2023-09-05,493.00,505.00,492.10,492.80,-1.83,"11,033.00","5,454,589.70"
108,2023-09-04,495.00,512.00,494.50,502.00,-0.55,"15,005.00","7,481,594.10"
109,2023-09-03,510.00,513.00,499.00,504.80,-1.85,"31,970.00","16,093,439.40"
110,2023-08-30,516.80,519.00,514.00,514.30,-0.48,"14,379.00","7,421,599.40"
111,2023-08-29,533.90,533.90,515.10,516.80,-1.28,"11,860.00","6,158,615.00"
112,2023-08-28,514.00,532.00,514.00,523.50,-0.08,"13,348.00","6,990,099.90"
113,2023-08-27,532.00,532.00,518.30,523.90,-1.15,"19,842.00","10,344,693.30"
114,2023-08-24,542.00,547.50,529.50,530.00,-2.75,"40,419.00","21,708,930.70"
115,2023-08-23,529.80,545.00,524.00,545.00,3.63,"67,742.00","36,461,576.50"
116,2023-08-22,520.00,526.40,514.00,525.90,1.53,"9,119.00","4,743,272.20"
117,2023-08-21,524.00,530.10,514.00,518.00,-1.15,"16,624.00","8,671,970.50"
118,2023-08-20,522.00,528.00,519.30,524.00,-1.50,"15,949.00","8,339,888.00"
119,2023-08-17,523.00,541.00,515.00,532.00,3.50,"36,757.00","19,517,932.80"
120,2023-08-16,520.00,520.00,511.10,514.00,-1.15,"19,839.00","10,192,992.90"
121,2023-08-15,530.00,532.00,517.20,520.00,-2.09,"20,593.00","10,798,381.60"
122,2023-08-14,525.00,545.00,525.00,531.10,-0.54,"36,089.00","19,387,461.70"
123,2023-08-13,535.00,535.00,520.20,534.00,-0.19,"20,243.00","10,711,027.60"
124,2023-08-10,522.00,540.60,512.20,535.00,2.43,"18,179.00","9,573,440.70"
125,2023-08-09,507.10,530.00,507.00,522.30,2.01,"16,159.00","8,301,232.70"
126,2023-08-08,530.00,540.00,510.00,512.00,-1.54,"27,931.00","14,495,235.20"
127,2023-08-07,525.00,541.00,510.00,520.00,0.00,"14,717.00","7,629,830.70"
128,2023-08-06,521.10,540.00,515.10,520.00,-2.09,"19,435.00","10,146,696.50"
129,2023-08-03,535.50,544.00,525.00,531.10,1.16,"24,985.00","13,376,130.20"
